Comparisons    Time
492            1.00
866            1.00
920            1.00
534            1.00
455            1.00
272            0.00
201            1.00
987            2.00
222            0.00
927            1.00
937            2.00
184            1.00
1002            2.00
488            1.00
829            1.00
915            1.00
1013            2.00
485            1.00
891            2.00
396            1.00
1010            2.00
228            1.00
408            1.00
224            0.00
504            1.00
830            2.00
990            3.00
453            1.00
736            1.00
444            1.00
713            1.00
640            1.00
606            2.00
459            1.00
517            1.00
894            2.00
827            1.00
438            1.00
621            1.00
648            2.00
513            2.00
921            1.00
482            2.00
161            1.00
722            1.00
176            1.00
364            1.00
934            1.00
847            1.00
268            1.00
974            2.00
431            1.00
238            1.00
754            1.00
615            1.00
574            1.00
568            1.00
241            1.00
795            2.00
299            1.00
789            1.00
659            1.00
648            1.00
273            0.00
337            1.00
249            0.00
1058            2.00
223            0.00
438            1.00
679            2.00
367            1.00
525            1.00
984            1.00
571            1.00
817            1.00
354            0.00
394            1.00
993            2.00
455            1.00
392            2.00
198            0.00
746            2.00
153            0.00
227            1.00
363            2.00
353            1.00
736            2.00
998            3.00
993            2.00
646            2.00
409            2.00
344            0.00
203            1.00
636            1.00
774            2.00
835            2.00
248            0.00
434            0.00
155            0.00
741            1.00
198            1.00
594            2.00
309            1.00
625            2.00
297            0.00
489            1.00
323            1.00
974            1.00
834            1.00
714            2.00
802            1.00
653            1.00
792            1.00
688            2.00
488            1.00
878            2.00
466            1.00
433            1.00
747            1.00
145            0.00
823            1.00
827            2.00
366            1.00
471            1.00
168            1.00
719            1.00
554            1.00
303            1.00
806            1.00
189            1.00
385            0.00
314            1.00
955            2.00
226            1.00
300            1.00
994            1.00
903            1.00
602            1.00
330            1.00
842            1.00
196            1.00
293            0.00
368            1.00
984            2.00
390            0.00
416            1.00
725            1.00
650            2.00
294            0.00
417            1.00
393            1.00
492            1.00
152            1.00
1027            2.00
747            1.00
923            2.00
891            2.00
966            2.00
720            1.00
981            2.00
155            0.00
495            1.00
756            2.00
798            2.00
1034            2.00
669            1.00
594            1.00
931            2.00
795            1.00
859            2.00
1014            2.00
995            2.00
831            1.00
653            1.00
950            2.00
265            0.00
439            1.00
416            1.00
319            1.00
685            2.00
861            2.00
816            1.00
245            0.00
471            1.00
573            1.00
566            1.00
693            1.00
701            1.00
873            2.00
359            1.00
811            1.00
1030            2.00
1055            2.00
658            1.00
408            1.00
405            1.00
882            1.00
330            1.00
224            1.00
779            1.00
1030            2.00
307            1.00
901            2.00
670            1.00
604            1.00
748            1.00
257            1.00
364            1.00
397            1.00
792            1.00
840            2.00
807            2.00
856            2.00
839            2.00
904            2.00
168            0.00
851            2.00
568            1.00
885            1.00
801            1.00
948            2.00
936            2.00
636            1.00
510            1.00
383            1.00
883            2.00
885            1.00
751            1.00
490            1.00
549            1.00
530            1.00
559            1.00
725            1.00
341            1.00
409            0.00
143            0.00
392            0.00
816            2.00
424            1.00
362            1.00
866            2.00
525            1.00
246            0.00
521            1.00
892            2.00
348            1.00
632            2.00
1024            2.00
803            2.00
680            2.00
497            1.00
642            2.00
503            1.00
208            1.00
535            1.00
331            0.00
769            1.00
1028            2.00
938            2.00
581            1.00
639            2.00
293            1.00
156            1.00
585            2.00
734            2.00
208            0.00
539            1.00
350            0.00
957            1.00
477            1.00
957            2.00
810            2.00
349            1.00
160            1.00
598            2.00
959            2.00
930            2.00
353            1.00
343            1.00
869            1.00
768            1.00
756            2.00
172            0.00
587            2.00
449            1.00
1036            2.00
889            2.00
470            1.00
966            2.00
1024            2.00
797            2.00
531            1.00
527            1.00
1021            2.00
651            1.00
667            1.00
889            2.00
944            1.00
560            1.00
389            1.00
920            2.00
721            1.00
897            2.00
465            1.00
910            1.00
552            1.00
194            0.00
792            1.00
602            1.00
358            1.00
582            2.00
920            2.00
1038            2.00
416            1.00
285            1.00
517            1.00
234            0.00
348            0.00
1011            2.00
909            2.00
273            1.00
688            1.00
944            2.00
493            1.00
912            1.00
543            1.00
624            1.00
631            1.00
307            1.00
753            2.00
1049            2.00
376            1.00
1029            2.00
967            2.00
545            1.00
478            1.00
688            1.00
826            2.00
598            1.00
238            1.00
810            2.00
629            2.00
367            1.00
325            1.00
369            1.00
533            1.00
231            0.00
270            0.00
163            1.00
270            0.00
636            2.00
572            2.00
291            0.00
407            1.00
152            1.00
879            2.00
896            2.00
295            1.00
964            2.00
596            2.00
366            1.00
557            1.00
939            2.00
338            1.00
465            1.00
238            0.00
385            1.00
518            1.00
909            2.00
265            1.00
854            1.00
790            1.00
691            1.00
472            1.00
789            2.00
323            1.00
1031            2.00
840            2.00
519            1.00
1039            2.00
566            1.00
391            1.00
464            1.00
568            1.00
538            1.00
275            1.00
932            2.00
686            1.00
212            1.00
743            2.00
766            2.00
239            0.00
247            0.00
206            1.00
658            1.00
820            1.00
964            2.00
624            1.00
901            2.00
699            1.00
270            1.00
615            1.00
652            2.00
682            1.00
282            0.00
1016            2.00
634            1.00
473            1.00
698            2.00
613            2.00
880            2.00
528            1.00
406            1.00
860            2.00
463            1.00
977            2.00
413            1.00
458            1.00
322            1.00
431            1.00
619            1.00
133            0.00
286            0.00
638            1.00
643            1.00
716            2.00
232            1.00
711            2.00
1002            2.00
961            2.00
872            2.00
321            1.00
741            2.00
846            2.00
423            1.00
1028            2.00
1048            2.00
604            2.00
187            1.00
221            1.00
533            1.00
670            1.00
342            1.00
177            1.00
157            1.00
544            1.00
396            1.00
522            1.00
295            1.00
370            1.00
565            2.00
925            1.00
536            1.00
415            1.00
787            2.00
700            1.00
477            1.00
931            2.00
660            2.00
651            2.00
621            1.00
995            2.00
978            2.00
788            1.00
879            2.00
1037            2.00
851            2.00
489            1.00
426            1.00
340            1.00
551            1.00
440            1.00
1041            2.00
701            2.00
148            0.00
574            2.00
269            0.00
943            2.00
273            1.00
454            1.00
226            0.00
497            1.00
608            1.00
701            2.00
757            2.00
220            1.00
375            1.00
260            0.00
742            1.00
453            1.00
903            2.00
552            2.00
399            1.00
610            1.00
530            1.00
907            2.00
760            2.00
914            1.00
717            1.00
749            2.00
367            1.00
232            0.00
568            1.00
310            1.00
906            1.00
222            0.00
695            1.00
248            0.00
423            1.00
760            2.00
974            1.00
245            0.00
173            0.00
304            1.00
186            0.00
133            1.00
1007            2.00
732            1.00
195            0.00
297            0.00
318            1.00
766            2.00
206            1.00
286            1.00
464            1.00
771            1.00
176            1.00
324            0.00
1050            2.00
806            2.00
138            0.00
834            1.00
215            1.00
1031            1.00
458            1.00
608            2.00
781            2.00
268            1.00
429            1.00
525            1.00
753            1.00
866            1.00
767            1.00
505            1.00
